"Reviewer_ID","Total_reviews","Reviewer_ranking","Total_helpful_votes","Location","Recent_ratings"
"A10AI3YYY8ZSMX","9","1,992,362","9 of 12","Birmingham of Paris","3 3 5 5 4 3 5 5 5 5"
"A10AMM0XOQE822","10","753,809","7 of 11","","5 5 5 5 5 5 5 4 4 1"
"A10APYHIOA2G54","1","15,267,458","4 of 15","","1"
"A10B2FO3AOHCZH","1","7,855,316","2 of 2","","5"
"A10B3QAMMU88C8","7","15,418,911","4 of 8","","5 2 3 3 4 5 4"
"A10B49ZO696DLO","10","600,173","36 of 50","EAST ELLIJAY, GA, United States","5 5 2 5 5 5 5 5 5 5"
"A10B8KDVTNN7RO","1","10,070,873","","","5"
"A10BJOP6A05EBT","1","9,146,360","","","5"
"A10BL3Z0PKMGJ3","1","10,008,190","","Nebraska, USA","5"
"A10BSE0CZASFJF","10","27,813","201 of 245","Louisiana","5 5 3 5 1 1 5 5 3 2"
"A10CAM65KQQDWX","1","9,152,191","1 of 2","","1"
"A10CMNURKKG0U5","3","2,464,750","1 of 2","","5 4 5"
"A10CX91Z19KTTE","9","1,637,171","8 of 15","","1 1 1 1 1 1 1 2 1"
"A10D8JQIB64YG","8","72,300","182 of 213","USA NY","5 5 5 5 5 4 4 5 3 5"
"A10DANIWCA6EXD","4","695,624","18 of 21","","5 5 1 5"
"A10DFH2Y5LWEU0","10","50,801","54 of 66","","5 5 5 5 5 5 5 5 5 5"
"A10DFOMFXB4EN0","1","10,000,691","","","5"
"A10DLS1U10RV32","2","10,978,960","1 of 3","","3 4"
"A10DN4JJWWXOTP","1","15,348,864","1 of 10","","5"
"A10DRMW69LJSZ8","11","15,345,863","11 of 25","Seaside, Oregon United States","2 5 5 5 5 1 5 5 4 4"
"A10DRWM57HD82K","7","1,934,870","3 of 5","","4 5 4 5 5 5 5"
"A10DV0CF39QYKF","4","4,533,312","","Los Angeles, CA","4 2 3 1"
"A10DYYVGOAD8GV","6","1,177,183","65 of 68","San Antonio, TX USA","4 5 5 5 5 4"
"A10E2X82LF9XJY","5","15,589,676","21 of 82","Hacienda Heights, CA United States","1 1 1 2 1"
"A10E55MZN3Z05U","2","4,515,289","1 of 2","","5 5"
"A10EUHWUM8WFVO","13","15,620,606","1 of 9","","4 2 1 1 5 3 3 3 5 5"
"A10EVCDPHKWKFY","2","3,897,269","2 of 2","","5 4"
"A10EXHKF0B9ZWH","2","6,162,281","5 of 18","New Jersey","5 4"
"A10F0D8JQU9WBB","151","50,667","168 of 276","Camby","1 5 4 5 5 3 1 5 5 5"
"A10FBCA2RGV549","10","15,590,367","60 of 92","Agra Ok","4 4 5 5 3 1 4 5 5 3"
"A10FD1IAH1FZX7","6","1,082,736","8 of 8","","5 2 3 5 5 5"
"A10FLGOE5FQYEP","10","481,204","13 of 16","","5 4 5 5 5 5 3 5 4 5"
"A10FRIG6ORFTAM","2","15,309,291","1 of 11","","1 1"
"A10FXRW7215XAY","1","6,737,402","2 of 2","","4"
"A10FZA2IEVF6L","1","9,286,763","2 of 4","","5"
"A10G37NQ4B0M60","4","1,436,230","3 of 4","","5 5 5 4"
"A10G5HR9TG9OWM","1","9,501,933","1 of 2","","2"
"A10G5YNB1AJ5NJ","1","8,349,656","1 of 1","","5"
"A10G8280RNVHCL","6","840,840","14 of 15","Texas","3 5 5 1 5 1"
"A10GLZC7ASF0ET","5","1,627,110","2 of 2","","4 3 5 4 2"
"A10GQYK9VEE7FV","9","1,035,392","11 of 21","Honolulu, HI USA","1 1 5 1 2 5 5 2 2"
"A10GU2PQPWMEFW","4","6,318,627","2 of 5","","5 4 5 1"
"A10HBBTCNPE2EE","12","535,254","19 of 30","Arkansas","4 5 1 5 2 5 5 5 5 5"
"A10HH8Q4WB3RM2","1","15,388,874","","","3"
"A10HJN55IFOP8T","10","15,647,948","7 of 32","SOUTHAMPTON, PENNSYLVANIA, US","2 5 2 5 1 5 5 5 5 1"
"A10HLHW5LZG55C","10","618,586","59 of 90","Soldotna, AK","5 1 5 4 3 5 1 2 1 5"
"A10HOYNXTHYHMY","2","15,240,537","2 of 8","","5 1"
"A10HQFNQ3GFEF7","1","8,310,707","2 of 3","","5"
"A10HVI81CJGYYB","3","1,772,117","4 of 4","","5 2 5"
"A10HWCQ465T6YR","2","4,820,365","2 of 6","","2 4"
"A10I590C4ZFVA6","1","8,746,767","1 of 2","","5"
"A10I73YZ1M8KY5","7","1,832,408","3 of 5","U.S.A. Iowa","5 5 5 5 5 5 4"
"A10I8F6ETIC8OT","1","9,712,477","3 of 4","","5"
"A10IA9LR9RHK9S","1","11,208,338","2 of 4","LITTLE ROCK, AR, US","1"
"A10ICF39OGVM65","5","15,461,646","2 of 14","","1 5 5 4 5"
"A10IJ9PKOI8X1B","1","3,893,250","7 of 7","Missouri","4"
"A10IKIRBIVJ3V6","1","4,121,420","4 of 4","","4"
"A10INH5XACJBV0","3","2,466,369","4 of 5","","5 5 5"
"A10IQT38ELHGRS","6","","","","4 5 5 5 5 4"
"A10IRR7TZS2QW5","7","1,416,144","3 of 4","","4 5 5 5 5 5 5"
"A10JAY12QUQT8Q","10","46,838","182 of 205","California USA","4 3 3 5 2 4 5 4 4 3"
"A10JDHT5OCY3X3","2","11,151,955","1 of 4","","1 2"
"A10JM9YVZOHP2R","10","171,588","86 of 105","Phoenix, AZ","5 5 5 4 5 4 5 5 5 5"
"A10JRM1K8PZ9EC","3","3,266,884","4 of 4","","5 5 1"
"A10JXAM0THSY29","1","9,462,079","4 of 4","","4"
"A10K025MY3BEL5","6","1,961,835","3 of 5","","4 5 4 2 5 5"
"A10K52MMR0L3JY","1","6,214,211","6 of 8","","1"
"A10K5VAHPECAGN","10","278,614","24 of 31","Los Angeles, California USA","5 5 5 5 5 5 5 5 5 5"
"A10K7E9F0THV3","10","256,241","36 of 49","New Martinsville, WV","5 3 4 5 5 3 3 5 5 5"
"A10K833FZVEZLE","1","8,288,771","1 of 1","","5"
"A10K9EBCX8V2NN","5","2,832,225","2 of 4","","5 5 5 5 4"
"A10KETI6W7JBJA","1","7,423,698","1 of 1","","5"
"A10KF2V17DTUMJ","10","743,778","8 of 8","SoCal","5 5 5 5 5 5 5 5 5 5"
"A10KZXJ93OPYJ2","3","4,874,888","4 of 7","","1 2 1"
"A10L82PA690ERK","10","14,751","472 of 519","Pennsylvania","1 3 5 5 1 3 2 4 2 5"
"A10LGB0LXF35KU","10","972,403","6 of 8","","5 5 5 5 5 1 5 5 5 5"
"A10LJTXXDQFTVZ","10","1,218,688","5 of 9","","5 5 5 5 5 3 3 5 5 5"
"A10LWBOIZCF2QT","10","9,535","967 of 1290","New York","5 5 5 4 5 4 5 5 5 5"
"A10LWPGYELAMSV","4","15,552,491","2 of 12","","2 1 1 2"
"A10M2USPAXY814","1","15,351,400","3 of 14","San Diego, CA USA","3"
"A10M30ZEKY25VZ","10","40,888","205 of 230","Chicago","5 5 5 5 5 5 5 5 5 5"
"A10M9LN4NEMJ9Q","2","8,512,467","","","5 5"
"A10MASCOUPZFJT","2","6,497,007","2 of 4","FT. Meade, MD United States","4 4"
"A10MPIHYM09P43","10","304,974","31 of 32","","3 4 5 1 5 2 1 2 1 2"
"A10MQLIRVQ8SGW","1","15,438,700","3 of 26","apo, ae United States","1"
"A10N6GHFWN6295","3","4,208,704","5 of 5","","4 5 4"
"A10NAW8ZV8PL3X","1","9,124,204","1 of 2","","5"
"A10NB1RFGR23EG","9","678,148","97 of 111","","5 1 3 3 3 3 4 4 3"
"A10NGS79PGENZJ","1","15,251,329","5 of 16","","1"
"A10NKQ0J1BU0HS","2","4,214,267","2 of 2","","1 5"
"A10NNTI053DHVR","10","143,017","32 of 35","All over US","5 5 5 2 4 4 5 5 5 5"
"A10NQKIG7NXUR7","10","27,404","80 of 86","","5 5 5 5 3 5 5 5 4 3"
"A10NS4REE3JHA3","1","9,044,713","","","1"
"A10O18BTQL8QBE","10","143,605","213 of 342","","4 1 1 4 2 5 4 4 2 4"
"A10OCDBT5Q6AX8","3","2,674,276","3 of 5","LOS ANGELES, CA","5 5 1"
"A10OEMPDH0BTIS","5","2,117,411","18 of 24","","5 3 1 5 5"
"A10OHFF195UFO4","10","2,515,830","19 of 27","Long Island, NY, USA","5 5 1 5 4 4 5 5 5 5"
"A10OKJ0E9KADL6","8","145,024","34 of 45","Malibu, CA","5 5 4 5 5 5 5 5"
"A10OL9ZKSIB2LN","7","957,238","6 of 7","","1 5 4 5 5 5 5"
"A10ONWCWS4NQQS","1","9,338,623","","","5"
"A10OTUSAB4JNAL","4","3,171,687","12 of 19","OKLAHOMA","4 4 5 4"
"A10P8UG177H2XR","10","162,900","24 of 41","","5 5 5 5 5 5 5 5 1 5"
"A10PAY126NAQX3","1","15,268,373","","","2"
"A10PCW75V1WF4L","10","1,417,673","19 of 34","South of the Mason Dixon line","4 2 3 5 4 1 1 4 2 2"
"A10PER3LC14TBT","4","3,744,316","10 of 14","Walnut, california United States","5 5 5 5"
"A10PEXB6XAQ5XF","10","8","28282 of 30084","Houston, TX","4 5 4 3 5 4 2 4 4 5"
"A10PMLZW5X97WO","10","482,753","103 of 194","San Diego, CA United States","5 5 5 4 5 4 3 2 2 5"
"A10PULPIEIF3OE","3","5,100,492","1 of 1","Overland Park, Kansas United States","5 4 4"
"A10Q3UDEMYZC3E","1","9,686,653","","","5"
"A10Q5V667V8WSO","2","15,274,148","1 of 6","","4 1"
"A10Q8FZA1U94HW","18","307,602","46 of 60","APO,AE","2 1 1 1 1 1 1 1 1 1"
"A10QCB3VF6C3HJ","6","4,728,102","3 of 5","","4 5 5 4 5 5"
"A10QEHC9WJTWJD","3","1,238,120","18 of 20","","5 5 5"
"A10QF1LCTX90TA","3","15,128,677","1 of 6","","1 1 5"
"A10QIBCWSP4NXQ","1","8,438,239","1 of 1","","2"
"A10QILHOX0TGSA","2","5,088,542","","","5 5"
"A10QODSRGELZS3","4","15,287,481","","","5 5 4 5"
"A10QPK2QW6TIVH","2","3,354,076","7 of 12","Mill Valley, CA","5 1"
"A10QPT0UX9BU7N","1","9,120,014","1 of 2","N.C.","3"
"A10R533SUJXXC3","20","223,791","53 of 61","CT","5 1 5 5 5 4 5 3 1 2"
"A10RK3I77X0XBU","1","9,712,304","1 of 2","","1"
"A10RPAO3PG7T4W","4","3,791,990","2 of 4","","5 2 5 5"
"A10RQF4RBZC5YV","1","9,241,843","","","5"
"A10RQQX3E3L1QJ","1","9,962,688","2 of 4","","5"
"A10RVQRJHJLOOK","2","6,299,836","7 of 17","","5 1"
"A10RX53MBYXZIA","10","70,938","329 of 343","","5 2 5 5 4 1 5 4 5 1"
"A10S5P5I130B2M","8","1,159,225","2 of 2","DuQuoin, IL USA","5 2 5 5 2 5 5 5"
"A10SSTYCXQ6D2S","1","9,174,806","","","2"
"A10T1DXH7IFADA","7","204,372","73 of 99","","2 5 2 5 1 2 3"
"A10T4R7OWFFMM8","10","55,559","68 of 76","Cherry Hill, NJ","4 4 4 3 3 4 4 4 4 5"
"A10T8XPDYOCU1O","1","7,972,860","1 of 1","","4"
"A10TKSOTU87L7M","10","82,588","160 of 211","","2 1 5 1 5 5 5 1 1 2"
"A10TL5MYMMS3IE","10","15,542,019","60 of 131","","1 1 1 1 1 1 1 1 2 1"
"A10TMTUT40BESJ","2","8,260,496","7 of 8","Montana","5 5"
"A10TPUO47TCZNU","1","7,351,980","5 of 6","","3"
"A10TQ9GWO5H2MP","10","198,834","55 of 68","Fargo, ND USA","5 4 5 5 5 5 5 5 5 5"
"A10TQZ9OX2CFBO","10","36,181","479 of 508","","5 5 5 5 5 4 5 5 5 5"
"A10TSPK1502J9Z","10","166,208","39 of 50","","5 5 2 5 5 5 5 1 4 5"
"A10TZNXA9RWBB9","1","8,504,227","","","5"
"A10U0XFL7NQ4UT","2","3,291,850","4 of 5","","5 5"
"A10U6PJXTEAXRY","2","2,060,862","6 of 7","","4 5"
"A10U7PLPODFA0M","7","2,549,201","8 of 9","","1 5 4 5 4 4 4"
"A10UCHNF4EVQFD","3","4,167,075","2 of 2","","5 5 5"
"A10UHA7J2YHJEG","3","8,396,755","10 of 21","","1 5 5"
"A10UHS2FF88Y4P","4","1,898,855","2 of 2","","5 5 5 5"
"A10UIBN0WY7ETR","1","9,724,753","4 of 5","","2"
"A10UTFO4F4NZG1","2","6,714,231","1 of 2","","5 5"
"A10UUYDN5NY2GB","10","193,416","343 of 591","California","5 5 5 5 5 5 3 5 3 5"
"A10V0SAQ6GKM7F","3","4,985,856","2 of 4","","1 5 5"
"A10V2W27N17JLX","1","8,818,936","1 of 2","","4"
"A10V591YU9900","1","15,115,274","2 of 7","THE VILLAGES, FL, US","1"
"A10V78JKUCMTM","8","15,558,623","3 of 15","","5 1 5 5 5 3 5 4"
"A10VE18LTEG6WQ","6","205,953","52 of 58","","5 5 4 3 1 5"
"A10VLKDWCHE71W","3","10,531,658","4 of 9","California lovins","4 4 4"
"A10VNWQSMQPJE5","10","958,379","4 of 5","","5 5 3 5 5 5 4 3 5 5"
"A10VPFHJDEIMR1","1","8,353,739","1 of 1","","5"
"A10VPKNI2I6HGQ","5","1,130,058","6 of 7","","4 5 2 1 4"
"A10VTM9R1B9URL","3","3,689,737","2 of 3","Leeds, UK","5 5 5"
"A10VXRCL5PVH9U","8","339,962","23 of 26","","1 3 4 5 5 5 5 5"
"A10WAMBFRBBTRH","10","861,352","19 of 39","Utah, USA","5 4 4 3 1 5 5 3 5 5"
"A10WHFQK3LO0F5","2","15,602,462","44 of 127","","5 1"
"A10WMQW41U07Y0","10","91,832","31 of 44","","5 5 5 5 5 3 5 5 3 5"
"A10WN5DWPJ4FDJ","2","4,637,444","","Colorado, USA","3 5"
"A10WNMUWWVECN6","1","9,692,585","3 of 3","","4"
"A10WNZR8SCC103","7","15,603,676","15 of 89","","4 1 5 5 5 5 5"
"A10WP83WUH0A8B","2","3,730,465","3 of 3","","4 5"
"A10WXBKRSDRKSZ","10","24,273","233 of 254","Hampton Court Palace, London, England","3 4 5 5 4 5 2 5 5 5"
"A10WXQIUHFKI0N","3","8,191,866","5 of 11","","1 1 5"
"A10X20OIBA96ND","10","17,180","236 of 276","Dallas, TX","1 3 5 1 3 3 5 5 3 2"
"A10X28FN19BYTP","10","49,166","104 of 187","North Florida","5 5 5 3 1 1 5 5 5 5"
"A10XANCLC6NG3J","1","11,547,393","8 of 15","Sao Paulo Brazil","1"
"A10XBGVUPMQOYM","1","9,727,666","","","4"
"A10XC62DZRG1ZH","1","15,190,961","2 of 7","","1"
"A10XDZ81DC27WA","13","1,002,416","17 of 28","","4 4 4 4 1 4 5 3 5 3"
"A10XMQQADJY0QZ","5","1,807,371","1 of 1","","4 5 3 5 5"
"A10XMTFSISZ87S","10","206,562","33 of 50","LOS ANGELES, CA, United States","5 5 3 2 2 3 1 5 5 1"
"A10XN213B7ZJZW","7","1,543,298","4 of 5","","5 5 5 5 4 5 5"
"A10XOFXXMLRUFM","1","10,087,979","","","5"
"A10XQXTY21300A","1","8,527,232","1 of 1","","5"
"A10XULFSJP6Q6M","2","9,804,483","2 of 2","Lincoln, NE","4 5"
"A10XWFLOD7HT9J","10","332,491","9 of 10","","5 5 5 5 5 5 5 5 5 5"
"A10XZXWERT9R47","1","15,362,670","1 of 9","","1"
"A10Y058K7B96C6","10","2,025","1155 of 1269","Kentucky","5 4 4 4 4 4 4 4 4 4"
"A10Y1P2N3F04Q0","1","10,089,700","","","5"
"A10YGFF9Y60I4E","5","2,432,992","2 of 4","Land O Lakes, FL, US","2 4 2 3 5"
"A10YH2VRFKIJ88","4","1,988,066","3 of 3","","5 5 5 5"
"A10YIFTLBCRRC5","10","104,921","35 of 42","Bakersfield, CA USA","4 3 3 2 4 2 4 4 3 5"
"A10YL95YMYTB1N","10","192,339","17 of 19","CHESTER, VA, United States","5 2 4 5 5 5 5 5 5 4"
"A10YST9UUQ1876","8","1,207,439","6 of 12","USA","5 5 5 5 5 1 4 5"
"A10Z2KZF69WCKZ","10","57,701","231 of 316","Phoenix, AZ","4 1 5 5 5 1 1 1 3 1"
"A10Z44NSXWN6HK","8","1,166,340","47 of 70","Washington, DC USA","4 1 5 2 5 4 4 5 4 4"
"A10Z8FC0SMU5VQ","198","51,175","250 of 418","Wesley Chapel, FL","5 4 5 5 4 5 5 5 5 4"
"A10Z9Q0AYB5KL","2","4,552,651","2 of 2","TX, USA","5 1"
"A10ZBGX87V7RPC","4","1,010,168","68 of 72","","5 4 5 3"
"A10ZBR6O8S8OCY","10","3,357","1145 of 1384","Phila, PA","5 5 5 5 5 5 4 5 5 5"
"A10ZG2DUTLCA5F","1","8,316,500","1 of 1","Latinamerica","5"
"A10ZLAKQO167AT","10","1,463,795","4 of 6","GA","5 5 5 5 5 5 2 5 4 4"
"A10ZOV2P53U0WF","7","3,609,536","2 of 2","S.W. Florida","5 5 5 5 5 5 4"
"A10ZRLV4NCGNPL","24","184,673","33 of 39","Florida, USA","2 4 5 3 4 4 3 2 3 3"
"A10ZTALM54G90Y","10","583,475","185 of 201","Orlando, FL","2 5 3 5 3 5 5 4 5 5"
"A10ZVZAUBWA2E0","10","155,198","106 of 148","","5 5 5 5 5 5 5 5 5 5"
"A10ZWWKD4UVKU8","2","15,422,651","4 of 15","","2 1"
"A10ZZB1W44NV4D","3","985,817","13 of 14","","5 5 5"
"A110IPZA44VTAN","18","1,052,725","5 of 9","","5 4 5 5 5 5 3 4 3 5"
"A110ZEDSNASVCO","10","10,646","1183 of 1466","Cleveland, Ohio","5 1 5 5 5 5 5 5 4 5"
"A1110MGT0DVR2O","5","1,868,005","1 of 2","","5 5 5 5 4"
"A1112KFBWSPCAC","1","15,376,007","2 of 19","","1"
"A1114A4D05GRVV","0","","","",""
"A111ERBYMJ3IAA","8","1,499,867","4 of 6","Kentucky","5 5 1 5 5 1 3 1"
"A111JFOAXA65G9","2","4,672,881","2 of 4","","5 5"
"A111PT451HJORF","1","8,749,330","","","3"
"A111XXXBST1VTV","3","10,611,306","10 of 15","Boulder, CO USA","4 1 2"
"A111ZAXHIADWI","10","554,634","47 of 62","Washington, DC United States","4 5 5 4 1 5 5 5 4 2"
"A1124U4Z7EYG45","1","3,958,354","10 of 12","","1"
"A1126XHAJK4PYG","10","6,226","4064 of 4181","","5 4 5 4 4 4 5 3 4 4"
"A112ANY0ITC2TL","1","15,319,967","19 of 57","","1"
"A112I8TA2GX071","10","110,900","104 of 145","USA","5 4 1 5 5 5 2 5 5 2"
"A112L2J38687X4","1","15,151,508","1 of 5","","2"
"A112PUDCZS3PQ8","1","9,294,264","1 of 3","","5"
"A112Q5FN8OYT9E","2","4,793,733","1 of 2","","4 4"
"A112RD1PTKOBJT","6","2,080,805","2 of 3","","5 5 5 5 5 4"
"A11310KL9XPFT5","2","8,650,120","2 of 5","","4 4"
"A1138TG64PHXMW","7","4,497,919","4 of 8","Eastman Ga.","4 1 5 5 5 5 4"
"A113BWCSOOX2PQ","4","2,519,454","4 of 5","","3 5 5 5"
"A113HTQ4HHYNDI","1","15,351,058","1 of 13","","1"
"A113L8654MPCLU","17","363,473","22 of 34","Greer, SC, USA","5 4 4 4 5 5 5 5 1 2"
"A113WSVCMZTJA9","6","6,092,745","1 of 2","","5 5 5 5 5 5"
"A113ZAWQ3Y01SB","3","3,127,542","1 of 1","","5 5 5"
"A1144U9T0PJZ6C","4","15,602,156","29 of 60","CA","1 3 3 3"
"A1147915EQXZPK","10","1,109,386","3 of 4","","5 4 5 5 4 5 5 3 5 5"
"A114H2STY73TQD","1","11,098,530","","","3"
"A114O4R5VKCBN9","10","331,741","105 of 158","Atlanta, GA","5 2 4 5 3 2 3 3 5 2"
"A114WBHOE37Y2B","8","67,573","158 of 179","","5 1 1 2 2 5 5 5"
"A114WS1M0X4X90","2","5,440,118","5 of 6","","5 4"
"A11580JEB4BXP4","10","360,295","7 of 8","Atlanta,GA","5 5 5 5 5 5 5 5 4 5"
"A115DGP19JC56Z","28","338,884","107 of 176","Afghanistan","5 5 5 5 3 3 2 1 2 5"
"A115F7JT6RHV4R","1","9,111,189","1 of 2","","4"
"A115H2B2PA0ZL1","2","4,699,604","1 of 1","","5 5"
"A115JHA4HBSMU9","10","301,589","22 of 29","","5 5 5 1 3 4 5 5 1 5"
"A115N6E5LE470Y","1","7,840,356","4 of 6","","4"
"A115VTCL90D5JT","1","7,798,720","1 of 1","","1"
"A115YMZ7WH9QPV","3","15,600,887","4 of 53","","5 2 2"
"A116E7O5ITE11W","4","15,444,806","5 of 24","USA","1 1 1 5"
"A116EQFZ2AJBL6","1","9,277,620","1 of 2","","3"
